Date and Time Downloaded : 04/21/2020 09:25:51 am"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000003028","3028","SANTA ROSA COMMUNITY HOSPITAL","","","","Hospital","Government","Local Government Unit","","CATTLEYA STREET, LM SUBDIVISION","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","CITY OF SANTA ROSA","043428000","MARKET AREA (POB.)","043428012","4026","+63 495341801","+63 495342903","+63 495208607","srch1995@yahoo.com","","","PATAKSIL","PARNEL","CARTECIANO","Chief of Hospital","With License","Level 1","83"
"DOH000000000003035","3035","ST. MARTIN GENERAL HOSPITAL"," "," "," ","Hospital","Private"," "," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LEMERY","041012000"," "," ","4209"," "," "," "," "," "," "," "," "," "," ","Without License","",""
"DOH000000000003048","3048","MABINI RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","MABINI","041016000","POBLACION","041016018","4202","+63 434871077"," "," ","rhu.mabini@yahoo.com"," "," ","BELOSO","MELANIO RAMIR","P.","Municipal Health Officer","","",""
"DOH000000000003059","3059","LOPEZ RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","LOPEZ","045622000","MAGSAYSAY (POB.)","045622007","4316","+63 423025334"," "," ","rhulopez@yahoo.com"," "," ","MERCADO JR.","JOSE","MARQUEZ","Municipal Health Officer","","",""
"DOH000000000003072","3072","ANGONO MEDICS HOSPITAL, INC.","","","","Hospital","Private","","","NUMBER 1 RAINBOW VILLAGE ,QUEZON AVENUE","ANGONO MEDICS HOSPITAL BUILDING 1","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","ANGONO","045801000","SAN ISIDRO","045801009","1930","+63 024511996","","","angonomedicshospital@ymail.com","","","VILLAMAYOR","AZER","MERCED","Medical Director","With License","Level 1","87"
"DOH000000000003081","3081","BAGUMBAYAN HEALTH CENTER AND BIRTHING HOME","BAGONG POOK BARANGAY HEALTH STATION","","","Barangay Health Station","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","SANTA MARIA","043427000","BAGONG POOK","043427002","4022","","","","esterilao@yahoo.com","","","","","","","","",""
"DOH000000000003088","3088","GENERAL NAKAR RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","DON ASTRERA STREET"," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","GENERAL NAKAR","045617000","POBLACION","045617016","4338"," "," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000003097","3097","STO. NIÑO DE TANZA MEDICAL AND DIAGNOSTIC CENTER"," "," "," ","Hospital","Private"," "," "," "," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","TANZA","042120000","AMAYA II","042120028","4108"," "," "," "," "," "," "," "," "," "," ","Without License","",""
"DOH000000000003111","3111","OUR LADY OF CAYSASAY MEDICAL CENTER","","","","Hospital","Private","","","V. ILLUSTRE AVENUE","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LEMERY","041012000","","","4209","+63 434091888","+63 434110980","+63 434090088","","","","FLORES","ERNESTO VINCENT II","","Chief of Hospital","With License","Level 2","100"
"DOH000000000003184","3184","NAVOTAS RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","211 GUHIT STREET"," ","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","CARDONA","045806000","NAVOTAS","045806018","1950"," "," "," "," "," "," ","SILAO","ELOIDA","ESTRELLA","Municipal Health Officer","","",""
"DOH000000000003188","3188","BURDEOS RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","BURDEOS","045606000","POBLACION","045606012","4340"," "," "," ","rhu_burdeos@yahoo.com"," "," ","ALPAÑO","JOHN GILBERT"," ","Municipal Health Officer","","",""
"DOH000000000003203","3203","BALAYAN MUNICIPAL HEALTH OFFICE","Â BALAYAN RURAL HEALTH UNIT","","","Rural Health Unit","Government","Local Government Unit","","PLAZA MABINI STREET","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","BALAYAN","041003000","BARANGAY  2 (POB.)","041003007","4213","+63 434073750","+63 432116629","+63 439211872","mhobalayan@yahoo.com","","","NOCHE","EVELYN","S.","Municipal Health Officer","","",""
"DOH000000000003266","3266","SAN MATEO RURAL HEALTH UNIT II","","","","Rural Health Unit","Government","Local Government Unit","","FE AMADO COMPOUND","","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","SAN MATEO","045811000","MALANDAY","045811007","1850","","","","","","","BAUTISTA","MARILYN","","Public Health Nurse","","",""
"DOH000000000003287","3287","QUEEN MARY HOSPITAL","","","","Hospital","Private","","","J. PASTOR STREET","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","IBAAN","041010000","POBLACION","041010017","4230","+63 433112028","","","queenmaryhosp@yahoo.com.ph","","","ANGELIA","DIOSCORRO JR.","M.","Chief of Hospital","With License","Level 1","15"
"DOH000000000003337","3337","FERNANDO AIR BASE HOSPITAL","","","","Hospital","Government","Department of National Defense","","FERNANDO BOULEVARD","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","","","4217","+63 437781810","","","fab_hospital@yahoo.com","","","UY","WILLIAM","P.","Chief of Hospital","With License","Level 1","70"
"DOH000000000003355","3355","SILVA'S CLINIC"," "," "," ","Hospital","Private"," "," ","F. PLATON STREET"," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","CITY OF TANAUAN","041031000"," "," ","4232"," "," "," "," "," "," ","VELANDO","GLORIA","S."," ","Without License","",""
"DOH000000000003362","3362","SAN ROQUE RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","F. MAÑALAC STREET"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CAVITE CITY","042105000","BARANGAY 54-A (PECHAY A)","042105080","4100"," "," "," ","cavitecity_cho@yahoo.com"," "," ","SOSA","ARMIDA"," ","Public Health Nurse","","",""
"DOH000000000003396","3396","METRO SOUTH MEDICAL CENTER","","","","Hospital","Private","","","NATIONAL ROAD","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","BACOOR CITY","042103000","MOLINO IV","042103047","4102","+63 025844594","","","","","","SUAVERDEZ","RONALD","C.","Chief of Hospital","With License","Level 2","50"
"DOH000000000003417","3417","QUEEN MARY HELP OF CHRISTIAN HOSPITAL INC.","","","","Hospital","Private","","","NATIONAL ROAD","","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","CARDONA","045806000","CALAHAN","045806007","1950","+63 022135245","","+63 022135245","","","","ALSOL","MENNEN","A.","Chief of Hospital","With License","Level 1","48"
"DOH000000000003448","3448","BONDOC PENINSULA DISTRICT HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","CATANAUAN","045610000","BARANGAY  8 (POB.)","045610010","4311","+63 423158413","","","bpdhcatanauan@gmail.com","","","RIVERA","WILSON","T.","Chief of Hospital","With License","Level 1","25"
"DOH000000000003452","3452","UNIVERSITY HEALTH SERVICE","","","","Hospital","Government","Local Government Unit","","NARRA ROAD, FORESTRY CAMPUS, U.P.","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","LOS BA?OS","043411000","","","4030","+63 495362470","","","","","","REAÑO","MARILYN","P.","Chief of Hospital","With License","Level 1","30"
"DOH000000000003495","3495","HEALTHSERV LOS BAÑOS MEDICAL CENTER","MT. MAKILING FAMILY HOSPITAL","HEALTHSERV LOS BAÑOS HOSPITAL AND MEDICAL CENTER","","Hospital","Private","","","8817 NATIONAL HIGHWAY","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","LOS BA?OS","043411000","BATONG MALAKE","043411004","4030","+63 495364858","","+63 495844695","healthserv@yahoo.com","","","OCAMPO","RHODORA","D.","Chief of Hospital","With License","Level 2","78"
"DOH000000000003531","3531","PADRE BURGOS RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","PADRE BURGOS","045629000","BURGOS (POB.)","045629011","4303"," "," "," ","rhu.padereburgos@yahoo.com"," "," ","SAVEDIA","MAILA"," ","Municipal Health Officer","","",""
"DOH000000000003558","3558","LUCENA MMG GENERAL HOSPITAL","","","","Hospital","Private","","","RED-V, MAHARLIKA HIGHWAY","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","LUCENA CITY (Capital)","045624000","IBABANG DUPAY","045624020","4301","+63 423736161","+63 423736164","+63 423736321","ludhmc@yahoo.com","","","TAN","NENITA","C.","Chief of Hospital","With License","Level 2","95"
"DOH000000000003559","3559","MANILA EAST MEDICAL CENTER","","","","Hospital","Private","","","MANILA EAST ROAD","","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","TAYTAY","045813000","DOLORES (POB.)","045813001","1920","+63 026600000","","+63 026612811","manilaeast@yahoo.com","","","RABANAL","RODOLFO","C.","Chief of Hospital","With License","Level 2","99"
"DOH000000000003565","3565","OSPITAL NG NASUGBU","NASUGBU DOCTORS GENERAL HOSPITAL","","","Infirmary","Government","","","P. RINOZA STREET","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","NASUGBU","041019000","BARANGAY  1 (POB.)","041019049","4231","+63 434167475","","","OSPITALNGNASUGBU@YAHOO.COM","","","HERNANDEZ","ALEXANDER","TORRES","Chief of Hospital","Without License","",""
"DOH000000000003567","3567","SOLOMONS CLINIC"," "," "," ","Hospital","Private"," "," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SAN JUAN","041023000"," "," ","4226"," "," "," "," "," "," ","DE GUZMAN","DENNIS"," "," ","Without License","",""
"DOH000000000003604","3604","MENDEZ (MENDEZ-NUÑEZ) RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","RIZAL STREET"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","MENDEZ (MENDEZ-NU?EZ)","042114000","POBLACION II (BARANGAY II)","042114008","4021","+63 468610308"," ","+63 464130601","ellenpeji@yahoo.com"," "," ","AUDITOR","JOSE","NOCEDA","Municipal Health Officer","","",""
"DOH000000000003616","3616","HOLY ROSARY HOSPITAL","","","","Hospital","Private","","","SAN ISIDRO STREET","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","LOPEZ","045622000","TALOLONG (POB.)","045622008","4316","+63 423025255","+63 423027158","","holyrosaryhospital@yahoo.com","","","CAPONPON","AMANCIO JR.","H.","Chief of Hospital","With License","Level 1","60"
"DOH000000000003633","3633","IMUS FAMILY HOSPITAL,INC.","","","","Hospital","Private","","","JUSTINVILLE 2, SUBDIVISION","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","IMUS CITY","042109000","PALICO I","042109019","4103","+63 464716403","","","imusfamilyhospital_96@yahoo.com","","","ALESTANTE","ALYER","M.","Medical Director","With License","Level 1","15"
"DOH000000000003656","3656","SAN PABLO CITY HEALTH OFFICE","","","","City Health Office","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","SAN PABLO CITY","043424000","BARANGAY IV-A (POB.)","043424017","4000","+63 495625505","","","","","","GLORIOSO","NIDA","","City Health Officer","","",""
"DOH000000000003693","3693","TIAONG MUNICIPAL HEALTH OFFICE","TIAONG Main Health Center"," "," ","Rural Health Unit","Government","Local Government Unit"," ","DON. ROBLES STREET"," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","TIAONG","045648000","BARANGAY  III (POB.)","045648005","4325"," "," "," ","tiaong_health@yahoo.com"," "," ","LANDICHO","PEDRO"," ","Municipal Health Officer","","",""
"DOH000000000003749","3749","ANGONO RURAL HEALTH UNIT I"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","P. TOLENTINO STREET"," ","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","ANGONO","045801000","SAN ISIDRO","045801009","1930"," "," "," ","angonorhu@yahoo.com"," "," ","LOZO","JOSE","ATENDIDIO","Municipal Health Officer","","",""
"DOH000000000003759","3759","CENTRAL AZUCARRERA DON PEDRO HOSPITAL","","","","Hospital","Private","","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","NASUGBU","041019000","LUMBANGAN","041019029","4231","","","","","","","GAYOSA","RENZI","","Chief of Hospital","With License","Level 1","20"
"DOH000000000003772","3772","LIPA CITY HEALTH OFFICE","","","","City Health Office","Government","","","JP LAUREL HIGHWAY","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","MARAUOY","041014030","4217","(043) 9812014","","(043) 784-2519","lipa_cho@yahoo.com.ph","","","SILANG","ALEX","ZUÑO","City Health Officer","","",""
"DOH000000000003777","3777","CAVITE NAVAL HOSPITAL","","","","Hospital","Government","Department of National Defense","","FORT SAN FELIPE","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CAVITE CITY","042105000","BARANGAY 62-A (KANGKONG A)","042105083","4100","+63 464310469","","","","","","VALLACA","MA. JESSICA","M.","Chief of Hospital","With License","Level 1","100"
"DOH000000000003799","3799","BLESSED TRINITY MATERNITY AND MEDICAL HOSPITAL, INC.","","","","Hospital","Private","","","AVATEC ROAD, MARCOS HIGHWAY","BUFER BUILDING","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","CITY OF ANTIPOLO (Capital)","045802000","MAYAMOT","045802004","1870","+63 026815291","","","btmmhcares@yahoo.com","","","BUAN","ELSIE","F.","Chief of Hospital","With License","Level 1","24"
"DOH000000000003802","3802","CAVITE MEDICAL CENTER","","","","Hospital","Private","","","MANILA-CAVITE ROAD","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CAVITE CITY","042105000","BARANGAY 8 (MANUEL S. ROJAS)","042105061","4100","+63 464319988","","+63 464315650","","","","UDASCO","DANTE MARK","D.","Medical Director","With License","Level 2","60"
"DOH000000000003814","3814","CALAMBA DOCTORS' HOSPITAL","","","","Hospital","Private","","","KM 49 NATIONAL HIGHWAY","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","CITY OF CALAMBA","043405000","PARIAN","043405037","4027","+63 495457371","","+63 49 5452527","amsi_cdh@yahoo.com","","","DE GRANO","JOSE RENE","D.","Chief of Hospital","With License","Level 2","120"
"DOH000000000003834","3834","RIZAL PROVINCIAL HEALTH SYSTEM-PILILLA ANNEX","YNARES-PILILLIA COMMUNITY HOSPITAL","","","Infirmary","Government","Local Government Unit","","ALMADRIGO STREET","","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","PILILLA","045810000","TAKUNGAN (POB.)","045810010","1910","","","","","","","SAN JOSE JR","CLEMENTE","G.","Chief of Hospital","With License","","15"
"DOH000000000003836","3836","STRIKE SA SERBISYO HEALTH UNIT II (FLORAVILLE)","FLORAVILLE MAIN HEALTH CENTER","BACOOR RURAL HEALTH UNIT II","","Rural Health Unit","Government","Local Government Unit","","FLORAVILLE AVENUE","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","BACOOR CITY","042103000","P.F. ESPIRITU I (PANAPAAN)","042103018","4102","+63 46436-1948","","","floraville.rhu@gmail.com","","","GUEVARRA","MARITA","TORRES","Medical Officer","Not Applicable","",""
"DOH000000000003858","3858","TAAL RURAL HEALTH UNIT II"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","TAAL","041029000"," "," ","4208","+63 432143195"," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000003867","3867","EMILIO AGUINALDO COLLEGE MEDICAL CENTER","","","","Hospital","Private","","","","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CITY OF DASMARI?AS","042106000","SALITRAN II","042106058","4115","+63 464163010","","+63 465194210","eacmedcavite@gmail.com","","","CHUA","ALAN","P.","Chief of Hospital","With License","Level 2","154"
"DOH000000000003882","3882","KAWIT MATERNITY AND GENERAL HOSPITAL"," "," "," ","Hospital","Private"," "," ","66 FREEDOM PARK"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","KAWIT","042111000","KAINGEN","042111003","4104"," "," "," "," "," "," ","VICTA","CHRISTINE","P.","Medical Director","Without License","",""
"DOH000000000003888","3888","SAN ANTONIO MEDICAL CENTER OF LIPA, INC.","","","","Hospital","Private","","","#2 C.M. RECTO AVENUE","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","","","4217","+63 433122003","+63 437562522","","sanantonio_gen1970@yahoo.com","","","REYES","CESAR SR.","A.","Chief of Hospital","With License","Level 2","25"
"DOH000000000003892","3892","PAGBILAO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","BONIFACIO STREET","RHU - SENTRONG PANGKALUSUGAN","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","PAGBILAO","045630000","BARANGAY  5 SANTA CATALINA (POB.)","045630023","4302"," "," "," ","rhu_pagbilao@yahoo.com"," "," ","MERENE","NATHANIEL","P.","Municipal Health Officer","","",""
"DOH000000000003940","3940","ST. MICHAEL MEDICAL HOSPITAL","","","","Hospital","Private","","","","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","BACOOR CITY","042103000","MOLINO II","042103045","4102","+63 464771757","","","pathology1953@yahoo.com","","","VILLEGAS","RICHARD FRANCIS","","Chief of Hospital","With License","Level 1","48"
"DOH000000000003990","3990","CATANAUAN RURAL HEALTH UNIT AND LYINGIN CLINIC"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","NABATASAN STREET"," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","CATANAUAN","045610000","BARANGAY  9 (POB.)","045610011","4311","+63 423158321"," "," "," "," "," ","DAYA","FRANCIS GERARD","MOLINA","Municipal Health Officer","","",""
"DOH000000000003998","3998","SAN FRANCISCO MUNICIPAL HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","SAN FRANCISCO (AURORA)","045642000","CAWAYAN I","045642004","4315","+63 427130014","","","sf_mhospital@yahoo.com","","","LOPEZ","MARIO","L.","Chief of Hospital","With License","Level 1","10"
"DOH000000000004004","4004","SANTA ROSA CITY HEALTH OFFICE I","SANTA ROSA RURAL UNIT I (2003)"," "," ","Rural Health Unit","Government","Local Government Unit"," ","RIZAL BOULEVARD"," ","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","CITY OF SANTA ROSA","043428000","MARKET AREA (POB.)","043428012","4026","+63 495300015"," "," ","santarosa_cho1@yahoo.com.ph","cho1@santarosacity.gov.ph"," ","CUNANAN","SOLEDAD ROSANNA","C.","City Health Officer","","",""
"DOH000000000004055","4055","MATAAS NA KAHOY COMMUNITY HOSPITAL","","","","Infirmary","Private","","","49 RAFAEL LUBIS STREET","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","MATAASNAKAHOY","041018000","","","4224","+63 437021588","","","","","","MANGUIAT","MAY","","Chief of Hospital","With License","","11"
"DOH000000000004070","4070","SAN LUIS RURAL HEALTH UNIT I","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SAN LUIS","041024000","POBLACION","041024028","4210","+63 434118121","","+63 434118083","sanluisbatangas.rhu@gmail.com","","","LASALA","SALVADOR ATANACITO","","Municipal Health Officer","","",""
"DOH000000000004113","4113","PAGAMUTANG BAYAN NG CARMONA","","","","Infirmary","Government","Local Government Unit","","252 SAN JOSE STREET","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CARMONA","042104000","BARANGAY  2 (POB.)","042104013","4116","+63 464301644","","","","","","AGUINALDO","HOMER","L.","Chief of Hospital","With License","","15"
"DOH000000000004132","4132","AGONCILLO RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","AGONCILLO","041001000","POBLACION","041001015","4211","+63 432102116","+63 432102334","+63 432102344","","","","LANDICHO","RICHARD","B.","Municipal Health Officer","","",""
"DOH000000000004170","4170","IMUS CITY HEALTH OFFICE I"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","VELARDE SUBDIVISION"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","IMUS CITY","042109000","MEDICION   I-C","042109073","4103","+63 464344057"," "," "," "," "," ","MINA","FERDINAND","P.","City Health Officer","","",""
"DOH000000000004181","4181","NASUGBU RURAL HEALTH UNIT I"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," P. RINOZA STREET"," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","NASUGBU","041019000","BARANGAY  1 (POB.)","041019049","4231","+63 432162783","+63 434120222","+63 439316439","rhu_nasugbu@yahoo.com"," "," ","MARQUEZ","SARAH","DELOS REYES","Municipal Health Officer","","",""
"DOH000000000004182","4182","N.L. VILLA MEMORIAL MEDICAL CENTER","","","","Hospital","Private","","","F. MANALO STREET","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","","","4217","+63 437564871","","","","","","VILLA","MARTIN ANTHONY","A.","Chief of Hospital","With License","Level 2","99"
"DOH000000000004227","4227","LIWAG MEDICAL CLINIC, INC.","","","","Infirmary","Private","","","1 MAYO STREET","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","TIAONG","045648000","BARANGAY  II (POB.)","045648004","4325","+63 425457672","","","lmcgh_77@yahoo.com","","","GONZALES","ROEL","A.","Chief of Hospital","Without License","","20"
"DOH000000000004233","4233","SAN PEDRO JOSE L. AMANTE EMERGENCY HOSPITAL","","","","Hospital","Government","Local Government Unit","","7 SANTO NIÑO STREET","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","CITY OF SAN PEDRO","043425000","SANTO NIÑO","043425017","4023","+63 024785209","+63 028085301","","jlaeb2001@gmail.com","","","OLIVAREZ","ROBERT","R.","Chief of Hospital","With License","Level 1","12"
"DOH000000000004240","4240","LEMERY RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","ILUSTRE AVENUE"," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LEMERY","041012000","DISTRICT III (POB.)","041012034","4209","+63 437402983","+63 434110760","+63 434110894","mho.lemery@yahoo.com.ph"," "," ","VERGARA","WENCY","MARANAN","Municipal Health Officer","","",""
"DOH000000000004301","4301","BIÑAN CITY HEALTH OFFICE I","BIÑAN RURAL HEALTH UNIT I"," "," ","Rural Health Unit","Government","Local Government Unit"," ","GOOD MORNING SUBDIVISION"," ","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","CITY OF BI?AN","043403000","SANTO DOMINGO","043403023","4024","+63 495118142"," "," ","binanrhu@yahoo.com"," "," ","BENJAMIN","MIRABELLE","MORALES","City Health Officer","","",""
"DOH000000000004317","4317","ST. NICHOLAS DOCTORS HOSPITAL"," "," "," ","Hospital","Private"," "," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SAN NICOLAS","041025000","POBLACION","041025013","4207"," "," "," "," "," "," ","TENORIO JR.","JOSE PEPITO"," "," ","Without License","",""
"DOH000000000004334","4334","SAINT PATRICK'S HOSPITAL MEDICAL CENTER","","","","Hospital","Private","","","LOPEZ JAENA STREET","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","BATANGAS CITY (Capital)","041005000","","","4200","+63 437230754","","+63 437238386","sphmc_hr@ymail.com","","","PEREZ-CHUA","ABEGAYLE MACHELLE","","Chief of Hospital","With License","Level 3","100"
"DOH000000000004337","4337","SANTO TOMAS MUNICIPAL HOSPITAL"," "," "," ","Hospital","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTO TOMAS","041028000"," "," ","4234"," "," "," "," "," "," ","ROXAS","VERGEL","L."," ","Without License","",""
"DOH000000000004417","4417","GENERAL EMILIO AGUINALDO MEMORIAL HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","TRECE MARTIRES CITY (Capital)","042122000","LUCIANO (BITANGAN)","042122015","4109","+63 464190063","","","pho1_geamh@yahoo.com","","","ILOG","GILBERTO","P.","Chief of Hospital","With License","Level 3","284"
"DOH000000000004418","4418","LAGUNA PROVINCIAL HOSPITAL - GEN. J. CAILLES MEMORIAL DISTRICT HOSPITAL","GENERAL JUAN CAILLES MEMORIAL DISTRICT HOSPITAL","PAKIL EMERGENCY HOSPITAL","","Hospital","Government","Local Government Unit","","TAVERA STREET","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","PAKIL","043420000","","","4017","+63 495570213","+63 495570214","+63 495570215","caillesjuan@yahoo.com.ph","","","VILLARIN","RUDOLFO","CONSUL","Chief of Hospital","With License","Level 1","50"
"DOH000000000004424","4424","QUEZON MEDICAL CENTER","QUEZON MEMORIAL HOSPITAL","","","Hospital","Government","Local Government Unit","","QUEZON AVENUE","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","LUCENA CITY (Capital)","045624000","BARANGAY 11 (POB.)","045624004","4301","+63 427104023","","","quezon.medicalcenter@yahoo.com.ph","","","PADRE","ROLANDO","A.","Chief of Hospital","With License","Level 2","200"
"DOH000000000004429","4429","SORIANO-LEYBLE MEDICAL AND MATERNITY HOSPITAL"," "," "," ","Hospital","Private"," "," ","144 SAN JOSE STREET"," ","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","CITY OF ANTIPOLO (Capital)","045802000","SAN ISIDRO (POB.)","045802007","1870","+63 026971659"," "," ","slmmhospital@yahoo.com"," "," ","LEYBLE","MARIA DIVINA","SORIANO","Medical Director","Without License","",""
"DOH000000000004485","4485","REAL RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","REAL","045638000"," "," ","4335","+63 425366330"," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000004495","4495","ST. JUDE FAMILY HOSPITAL","","","","Hospital","Private","","","LOPEZ AVENUE","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","LOS BA?OS","043411000","BATONG MALAKE","043411004","4030","+63 495361982","","","st. jude_hospital@yahoo.com.ph","","","DONASCO","BENJAMIN","C.","Chief of Hospital","With License","Level 1","35"
