,Facility Name,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Region Name,Province,location,Hospital Licensing Status,Service Capability,Bed Capacity,lat,lon,City/Municipality Name,code,codenan
302,ASCCOM MEDICAL CENTER,Private,,REGION III (CENTRAL LUZON),Pampanga,APALIT,With License,Level 1,,14.9537085,120.76769420000001,,35402000,0
303,SAN ANTONIO DISTRICT HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Nueva Ecija,SAN ANTONIO,With License,Level 1,50.0,15.3218327,120.8785987,,34924000,0
304,BATAAN PENINSULA MEDICAL CENTER,Private,,REGION III (CENTRAL LUZON),Bataan,DINALUPIHAN,With License,Level 1,,14.868824499999999,120.46082379999999,,30804000,0
305,AIRFORCE CITY HOSPITAL,Government,Department of National Defense,REGION III (CENTRAL LUZON),Pampanga,ANGELES,With License,Level 1,25.0,15.182329500000002,120.5322172,,35401000,0
306,MALOLOS MATERNITY HOSPITAL AND EYE CENTER,Private,,REGION III (CENTRAL LUZON),Bulacan,MALOLOS,With License,Level 1,21.0,14.8501312,120.82219380000001,,31410000,0
307,ISAAC AND CATALINA MEDICAL CENTER,Private,,REGION III (CENTRAL LUZON),Bataan,BALANGA,With License,Level 1,,14.685207,120.5382025,,30803000,0
308,AFABLE MEDICAL CENTER AMBULATORY CARE,Private, ,REGION III (CENTRAL LUZON),Zambales,OLONGAPO,Without License,0,,14.8387514,120.2847209,,37107000,0
309,"RAYOS-VALENTIN HOSPITAL, INC",Private,,REGION III (CENTRAL LUZON),Tarlac,PANIQUI,With License,Level 1,45.0,15.6721506,120.58228770000001,,36910000,0
310,R DE C GALVEZ MEDICAL CENTER,Private,,REGION III (CENTRAL LUZON),Bulacan,SAN ILDEFONSO,With License,Level 1,25.0,15.0802362,120.94037240000002,,31419000,0
311,MOTHER OF PERPETUAL HELP HOSPITAL,Private, ,REGION III (CENTRAL LUZON),Pampanga,ANGELES,Without License,0,,15.1410589,120.59571100000001,,35401000,0
312,OSPITAL NG GUIGUINTO,Government,Local Government Unit,REGION III (CENTRAL LUZON),Bulacan,GUIGUINTO,With License,Level 1,25.0,14.835004999999999,120.89125,,31408000,0
313,MOTHER TERESA OF CALCUTTA MEDICAL CENTER,Private,,REGION III (CENTRAL LUZON),Pampanga,SAN FERNANDO,With License,Level 2,172.0,15.065741199999998,120.65379809999999,,35416000,0
314,"TIGLAO MEDICAL CENTER FOUNDATION, INC.",Private,,REGION III (CENTRAL LUZON),Pampanga,MABALACAT,With License,Level 1,34.0,15.2305756,120.5717629,,35409000,0
315,"SEÑOR STO NIÑO HOSPITAL, INC.",Private,,REGION III (CENTRAL LUZON),Tarlac,CAMILING,With License,Level 2,40.0,15.6893282,120.4148098,,36903000,0
316,BONGABON DISTRICT HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Nueva Ecija,BONGABON,With License,Level 1,50.0,15.6203677,121.14790649999999,,34902000,0
317,DEE HWA LIONG FOUNDATION MEDICAL CENTER- ANGELES BRANCH,Private, ,REGION III (CENTRAL LUZON),Pampanga,ANGELES,Without License,0,,15.144425,120.58883200000001,,35401000,0
318,RAFAEL LAZATIN MEMORIAL MEDICAL CENTER,Government,Local Government Unit,REGION III (CENTRAL LUZON),Pampanga,ANGELES,With License,Level 1,120.0,15.146009900000001,120.58068490000002,,35401000,0
319,GILBERTO O. TEODORO MEMORIAL HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Tarlac,CAMILING,With License,Level 1,25.0,15.645710300000001,120.4124101,,36903000,0
320,MABALACAT DISTRICT HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Pampanga,MABALACAT,With License,Level 1,25.0,15.1923932,120.58016429999999,,35409000,0
321,ST. CLAIRE PSYCHIATRIC HOMECARE,Private, ,REGION III (CENTRAL LUZON),Pampanga,SAN FERNANDO,Without License,0,,15.0420266,120.6676309,,35416000,0
322,M. V. GALLEGO CABANATUAN CITY GENERAL HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Nueva Ecija,CABANATUAN,With License,Level 1,76.0,15.476437699999998,120.95772590000001,,34903000,0
323,TALON GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Tarlac,TARLAC,With License,Level 2,50.0,15.4907929,120.5915393,,36916000,0
324,GUIMBA DISTRICT HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Nueva Ecija,GUIMBA,With License,Level 1,25.0,15.691333300000002,120.7265979,,34911000,0
325,MALOLOS EENT HOSPITAL,Private, ,REGION III (CENTRAL LUZON),Bulacan,MALOLOS,Without License,0,,14.850109,120.82278600000001,,31410000,0
326,SAGRADA FAMILIA HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,BALIUAG,With License,Level 1,27.0,14.9717915,120.89499579999999,,31403000,0
327,PREMIERE MEDICAL CENTER,Private,,REGION III (CENTRAL LUZON),Nueva Ecija,CABANATUAN,With License,Level 3,150.0,15.507008800000001,120.96712360000001,,34903000,0
328,JOSE SONGCO LAPID DISTRICT HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Pampanga,PORAC,With License,Level 1,48.0,15.064303400000002,120.54860049999999,,35415000,0
329,SAN FERNANDINO HOSPITAL,Private,,REGION III (CENTRAL LUZON),Pampanga,SAN FERNANDO,With License,Level 2,90.0,15.043553099999999,120.674989,,35416000,0
330,"SANTOS GENERAL HOSPITAL OF MALOLOS, INC.",Private,,REGION III (CENTRAL LUZON),Bulacan,MALOLOS,With License,Level 1,28.0,14.832161,120.814955,,31410000,0
331,PAMPANGA MEDICAL SPECIALIST HOSPITAL,Private,,REGION III (CENTRAL LUZON),Pampanga,GUAGUA,With License,Level 2,80.0,14.9728054,120.6063419,,35407000,0
332,SAN LUIS DISTRICT HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Pampanga,SAN LUIS,With License,Level 1,25.0,15.0526204,120.7808107,,35417000,0
333,"NUEVA ECIJA GOOD SAMARITAN HEALTH CARE SYSTEM, INC.",Private,,REGION III (CENTRAL LUZON),Nueva Ecija,CABANATUAN,With License,Level 2,100.0,15.491667199999998,120.97346100000001,,34903000,0
334,OUR LADY OF MT. CARMEL MEDICAL CENTER,Private,,REGION III (CENTRAL LUZON),Pampanga,SAN FERNANDO,With License,Level 3,108.0,15.096058900000001,120.62434909999999,,35416000,0
335,STA. CECILIA MEDICAL CENTER,Private,,REGION III (CENTRAL LUZON),Zambales,IBA,With License,Level 1,,15.320883300000002,119.9875608,,37105000,0
336,BULACAN MEDICAL CENTER,Government,Local Government Unit,REGION III (CENTRAL LUZON),Bulacan,MALOLOS,With License,Level 3,300.0,14.8586177,120.81694009999998,,31410000,0
337,BATAAN ST. JOSEPH HOSPITAL & MEDICAL CENTER CORP.,Private,,REGION III (CENTRAL LUZON),Bataan,BALANGA,With License,Level 2,50.0,14.681495199999999,120.541595,,30803000,0
338,SANTO DOMINGO DISTRICT HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Nueva Ecija,SANTO DOMINGO,With License,Level 1,25.0,15.5915351,120.87555259999998,,34929000,0
339,ESCOLASTICA ROMERO DISTRICT HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Pampanga,LUBAO,With License,Level 1,50.0,14.938259400000002,120.598674,,35408000,0
340,"OUR LADY OF ROSARY HOSPITAL, INC.",Private,,REGION III (CENTRAL LUZON),Pampanga,MACABEBE,With License,Level 1,20.0,14.9086753,120.715235,,35410000,0
341,WESLEYAN UNIVERSITY-PHILIPPINES,Private,,REGION III (CENTRAL LUZON),Nueva Ecija,CABANATUAN,With License,Level 2,100.0,15.485149400000001,120.9760703,,34903000,0
342,KAIROS MATERNITY AND GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,SAN JOSE DEL MONTE,With License,Level 1,,14.8030411,121.0348615,,31420000,0
343,DE JESUS GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,BALIUAG,With License,Level 1,,14.957157,120.899759,,31403000,0
344,"ST. RAPHAEL FOUNDATION MEDICAL CENTER, INC.",Private,,REGION III (CENTRAL LUZON),Pampanga,MABALACAT,With License,Level 2,80.0,15.1892816,120.5836554,,35409000,0
345,"ANGELES MEDICAL CENTER, INC.",Private,,REGION III (CENTRAL LUZON),Pampanga,ANGELES,With License,Level 2,,15.141575,120.58930900000001,,35401000,0
346,PRES. RAMON MAGSAYSAY MEMORIAL HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Zambales,IBA,With License,Level 2,150.0,15.3163109,119.9914108,,37105000,0
347,"PREMIERE GENERAL HOSPITAL OF NUEVA ECIJA, INC. BALER- AURORA",Private,,REGION III (CENTRAL LUZON),Aurora,BALER,With License,Level 2,30.0,15.753341800000001,121.5438689,,37701000,0
348,SAN MARCELINO DISTRICT HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Zambales,SAN MARCELINO,With License,Level 1,89.0,14.9596538,120.1682216,,37111000,0
349,MALOLOS SAN VICENTE HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,MALOLOS,With License,Level 1,12.0,14.845714300000001,120.8170081,,31410000,0
350,IMMACULATE CONCEPCION POLYCLINIC AND HOSPITAL INC,Private,,REGION III (CENTRAL LUZON),Tarlac,CONCEPCION,With License,Level 1,,15.323839800000002,120.66744209999999,,36905000,0
351,EMMANUEL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,SAN MIGUEL,With License,Level 1,,15.1353407,120.96484109999999,,31421000,0
352,ST. CATHERINE OF ALEXANDRIA FOUNDATION AND MEDICAL CENTER,Private,,REGION III (CENTRAL LUZON),Pampanga,ANGELES,With License,Level 2,40.0,15.135229999999998,120.5852048,,35401000,0
353,"V.L. MAKABALI MEMORIAL HOSPITAL, INC.",Private,,REGION III (CENTRAL LUZON),Pampanga,SAN FERNANDO,With License,Level 2,97.0,15.032018599999999,120.6888467,,35416000,0
354,"BATAAN WOMEN'S HOSPITAL, INC.",Private,,REGION III (CENTRAL LUZON),Bataan,BALANGA,With License,Level 1,,14.677449800000002,120.53559070000001,,30803000,0
355,OUR LADY OF MERCY GENERAL HOSPITAL INC.,Private,,REGION III (CENTRAL LUZON),Bulacan,PULILAN,With License,Level 2,30.0,14.8929519,120.867069,,31418000,0
356,MELVERY MATERNITY AND GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,PLARIDEL,With License,Level 1,14.0,14.873087,120.861304,,31417000,0
357,EVANGELISTA HOSPITAL,Private, ,REGION III (CENTRAL LUZON),Bulacan,MEYCAUAYAN,Without License,0,,14.732859,120.958228,,31412000,0
358,THE MEDICAL CITY - ANGELES,Private, ,REGION III (CENTRAL LUZON),Pampanga,ANGELES,Without License,0,,15.178328400000002,120.571874,,35401000,0
359,"ST. PAUL HOSPITAL BULACAN, INC.",Private,,REGION III (CENTRAL LUZON),Bulacan,BOCAUE,With License,Level 2,,14.795667300000002,120.9287922,,31404000,0
360,"SACRED HEART HOSPITAL OF MALOLOS, INC.",Private,,REGION III (CENTRAL LUZON),Bulacan,MALOLOS,With License,Level 2,72.0,14.851569,120.81780559999999,,31410000,0
361,SACRED HEART MEDICAL CENTER,Private,,REGION III (CENTRAL LUZON),Pampanga,ANGELES,With License,Level 2,75.0,15.125397099999999,120.5984473,,35401000,0
362,HOLY TRINITY GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Pampanga,ARAYAT,With License,Level 1,,15.1570735,120.77356100000002,,35403000,0
363,SAN MIGUEL DISTRICT HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Bulacan,SAN MIGUEL,With License,Level 1,50.0,15.136635,120.96574299999999,,31421000,0
364,AURORA MEMORIAL HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Aurora,BALER,With License,Level 1,49.0,15.80681,121.54198090000001,,37701000,0
365,CAMP AQUINO STATION HOSPITAL,Government,Department of National Defense,REGION III (CENTRAL LUZON),Tarlac,TARLAC,With License,Level 1,50.0,15.446763199999998,120.5883446,,36916000,0
366,DIVINE WORD HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,HAGONOY,With License,Level 1,,14.839353,120.7521861,,31409000,0
367,MARY IMMACULATE MATERNITY AND GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,MALOLOS,With License,Level 1,20.0,14.8378279,120.8136601,,31410000,0
368,"CASTRO MATERNITY HOSPITAL AND MEDICAL CENTER, INC.",Private,,REGION III (CENTRAL LUZON),Bulacan,BALIUAG,With License,Level 1,78.0,14.9578093,120.90365420000002,,31403000,0
369,MT. CARMEL HOSPITAL MEDICAL CENTER OF BULACAN CORPORATION,Private,,REGION III (CENTRAL LUZON),Bulacan,BOCAUE,With License,Level 1,,14.783872,120.933026,,31404000,0
370,NAZARENUS COLLEGE FOUNDATION HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,MEYCAUAYAN,With License,Level 2,100.0,14.751522400000002,120.95522930000001,,31412000,0
371,OSPITAL NING CAPAS,Government,Local Government Unit,REGION III (CENTRAL LUZON),Tarlac,CAPAS,With License,Level 1,16.0,15.3457485,120.59230670000001,,36904000,0
372,CLARK CENTRAL MEDICAL CENTER,Private, ,REGION III (CENTRAL LUZON),Pampanga,ANGELES,Without License,0,,15.166854999999998,120.583804,,35401000,0
373,CANDELARIA DISTRICT HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Zambales,CANDELARIA,With License,Level 1,50.0,13.929979999999999,121.4206463,,37103000,0
374,CLINICA HENSON,Private,,REGION III (CENTRAL LUZON),Pampanga,ANGELES,With License,Level 1,,15.1511116,120.5923932,,35401000,0
375,CENTRAL LUZON DOCTORS HOSPITAL,Private,,REGION III (CENTRAL LUZON),Tarlac,TARLAC,With License,Level 3,,15.478179199999998,120.5869477,,36916000,0
376,ST. VINCENT EENT HOSPITAL,Private, ,REGION III (CENTRAL LUZON),Bulacan,BUSTOS,With License,0,,14.956760999999998,120.91246399999999,,31406000,0
377,ORION SAINT MICHAEL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bataan,ORION,With License,Level 1,10.0,14.620072,120.57796,,30810000,0
378,BALIUAG DISTRICT HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Bulacan,BALIUAG,With License,Level 1,75.0,14.96989,120.913358,,31403000,0
379,MOTHER AND CHILD HOSPITAL,Private,,REGION III (CENTRAL LUZON),Zambales,OLONGAPO,With License,Level 1,18.0,14.830226000000001,120.286911,,37107000,0
380,MARCELO-PADILLA CHILDREN'S MEDICAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,PLARIDEL,With License,Level 2,37.0,14.8886421,120.86679290000001,,31417000,0
381,GERONA HOSPITAL OF THE SACRED HEART,Private,,REGION III (CENTRAL LUZON),Tarlac,GERONA,With License,Level 1,,15.6083695,120.6053889,,36906000,0
382,JOWELL GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Tarlac,PANIQUI,With License,Level 1,,15.662750899999999,120.5757032,,36910000,0
383,MEYCAUAYAN DOCTORS HOSPITAL INC.,Private,,REGION III (CENTRAL LUZON),Bulacan,MEYCAUAYAN,With License,Level 2,80.0,14.7498856,120.9739288,,31412000,0
384,PAMPANGA EENT AND GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Pampanga,SAN FERNANDO,With License,Level 1,15.0,15.0213419,120.69947140000002,,35416000,0
385,"MARILAO ST. MICHAEL FAMILY HOSPITAL, INC.",Private,,REGION III (CENTRAL LUZON),Bulacan,MARILAO,With License,Level 1,25.0,14.760991699999998,120.94781100000002,,31411000,0
386,RICARDO P. RODRIGUEZ MEMORIAL HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Pampanga,SAN FERNANDO,With License,Level 1,25.0,15.0812788,120.66166159999999,,35416000,0
387,SAN JOSE CITY GENERAL HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Nueva Ecija,SAN JOSE,With License,Level 1,50.0,15.807488000000001,120.99989599999999,,34926000,0
388,DR. PERALTA HOSPITAL CO.,Private,,REGION III (CENTRAL LUZON),Bulacan,PLARIDEL,With License,Level 1,,14.885914000000001,120.858667,,31417000,0
389,OFELIA L. MENDOZA MATERNITY AND GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,MALOLOS,With License,Level 1,18.0,14.8674009,120.8212487,,31410000,0
390,OUR LADY OF LOURDES INTERNATIONAL MEDICAL CENTER,Private,,REGION III (CENTRAL LUZON),Zambales,OLONGAPO,With License,Level 2,99.0,14.8474256,120.2691867,,37107000,0
391,MEXICO COMMUNITY HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Pampanga,MEXICO,With License,Level 1,50.0,15.073557500000001,120.7193676,,35413000,0
392,OUR LADY OF MT. CARMEL MEDICAL CENTER - CLARK,Private,,REGION III (CENTRAL LUZON),Pampanga,ANGELES,With License,Level 2,50.0,15.182266,120.52982800000001,,35401000,0
393,GRACE GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,SAN JOSE DEL MONTE,With License,Level 1,,14.8060057,121.0682322,,31420000,0
394,"GRAMAN MEDICAL AND MATERNITY HOSPITAL, INC.",Private,,REGION III (CENTRAL LUZON),Bulacan,MALOLOS,With License,Level 1,,14.846471,120.8346,,31410000,0
395,MATEO-MABBORANG GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,HAGONOY,With License,Level 1,23.0,14.836980800000003,120.7900555,,31409000,0
396,LA CONSOLACION UNIVERSITY GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,PLARIDEL,With License,Level 1,,14.8863619,120.86343459999999,,31417000,0
397,RICARDO P. RODRIGUEZ MEMORIAL HOSPITAL (ANNEX SPECIALTY HOSPITAL),Government,Local Government Unit,REGION III (CENTRAL LUZON),Pampanga,BACOLOR,With License,Level 1,25.0,15.0812788,120.66166159999999,,35404000,0
398,KALINGA SA KAPWA HEALTHCARE CENTER,Private,,REGION III (CENTRAL LUZON),Nueva Ecija,GENERAL TINIO,Without License,0,,17.4740422,121.35416310000001,,34910000,0
399,"SAINT JOSEPH HOSPITAL OF REMEDIOS,  INC.",Private,,REGION III (CENTRAL LUZON),Pampanga,LUBAO,With License,Level 1,50.0,14.920551199999998,120.57782879999999,,35408000,0
400,PANIQUI GENERAL HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Tarlac,PANIQUI,With License,Level 1,24.0,15.653535999999999,120.58564779999999,,36910000,0
401,ZAMBALES MEDICAL MISSION GROUP COOP HOSPITAL,Private,,REGION III (CENTRAL LUZON),Zambales,OLONGAPO,With License,Level 1,24.0,14.842504000000002,120.28517,,37107000,0
402,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - BALIWAG, INC.",Private,,REGION III (CENTRAL LUZON),Bulacan,BALIUAG,With License,Level 2,100.0,14.952736999999999,120.88443799999999,,31403000,0
403,"MARYMOUNT HOSPITAL, INC.",Private,,REGION III (CENTRAL LUZON),Bulacan,MEYCAUAYAN,With License,Level 2,100.0,14.764466699999998,120.98882409999999,,31412000,0
404,SKYLINE HOSPITAL AND MEDICAL CENTER,Private,,REGION III (CENTRAL LUZON),Bulacan,SAN JOSE DEL MONTE,With License,Level 2,100.0,14.7981886,121.07047759999999,,31420000,0
405,REINA DEL CIELO MATERNITY AND GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,PLARIDEL,With License,Level 1,16.0,14.886935999999999,120.86663300000001,,31417000,0
406,"THE MEDICAL CITY CLARK, INC.",Private,,REGION III (CENTRAL LUZON),Pampanga,MABALACAT,With License,Level 2,100.0,15.178328400000002,120.571874,,35409000,0
407,ARAYAT DOCTORS HOSPITAL,Private,,REGION III (CENTRAL LUZON),Pampanga,ARAYAT,With License,Level 1,,15.1490459,120.7666432,,35403000,0
408,"FLORIDABLANCA DOCTORS HOSPITAL, INC.",Private,,REGION III (CENTRAL LUZON),Pampanga,FLORIDABLANCA,With License,Level 2,,14.9867226,120.54825819999999,,35406000,0
409,M.S. MAGBITANG OSPITAL NG SAN ILDEFONSO,Private,,REGION III (CENTRAL LUZON),Bulacan,SAN ILDEFONSO,With License,Level 1,17.0,15.073998699999999,120.9431393,,31419000,0
410,"PAMPANGA PREMIER MEDICAL CENTER, INC.",Private,,REGION III (CENTRAL LUZON),Pampanga,APALIT,With License,Level 2,66.0,14.9602382,120.75913200000001,,35402000,0
411,QUALIMED HEALTH NETWORK SJDM,Private,,REGION III (CENTRAL LUZON),Bulacan,SAN JOSE DEL MONTE,,0,,14.788352800000002,121.07705,,31420000,0
412,"BRIGINO GENERAL HOSPITAL, INC.",Private,,REGION III (CENTRAL LUZON),Bulacan,SAN JOSE DEL MONTE,With License,Level 1,46.0,14.7854016,121.074577,,31420000,0
413,CAPAS MEDICAL CENTER,Private,,REGION III (CENTRAL LUZON),Tarlac,CAPAS,With License,Level 2,50.0,15.350760999999999,120.5930249,,36904000,0
414,DR. CABUCO HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,SANTA MARIA,With License,Level 1,,14.826221400000001,120.9806457,,31423000,0
415,"LOVING MOTHER GENERAL HOSPITAL AND DIAGNOSTIC CENTER, INC.",Private,,REGION III (CENTRAL LUZON),Tarlac,TARLAC,With License,Level 2,100.0,15.492817800000001,120.59334869999999,,36916000,0
416,GREEN CITY MEDICAL CENTER,Private,,REGION III (CENTRAL LUZON),Pampanga,SAN FERNANDO,With License,Level 2,100.0,15.0439989,120.6857664,,35416000,0
417,"CENTRO MEDICO DE SANTISIMO ROSARIO, INC.",Private,,REGION III (CENTRAL LUZON),Bataan,BALANGA,With License,Level 2,100.0,14.6727568,120.52448259999998,,30803000,0
418,"PHILIPPINE REHABILITATION INSTITUTE (PRI) FOUNDATION, INC.",Private,,REGION III (CENTRAL LUZON),Pampanga,ANGELES,With License,Level 2,108.0,15.1483137,120.5768368,,35401000,0
419,OSPITAL NG LUNGSOD NG SAN JOSE,Government,,REGION III (CENTRAL LUZON),Nueva Ecija,SAN JOSE,With License,Level 1,23.0,15.7917068,120.99213429999999,,34926000,0
420,MARIVELES DISTRICT HOSPITAL,Government,,REGION III (CENTRAL LUZON),Bataan,MARIVELES,With License,0,25.0,14.437896599999998,120.4984277,,30807000,0
421,"CONGRESSMAN ENRIQUE ""HENRY"" M. COJUANGCO MEMORIAL DISTRICT HOSPITAL",Government,,REGION III (CENTRAL LUZON),Tarlac,MONCADA,With License,Level 1,17.0,15.732505599999998,120.57267859999999,,36909000,0
422,ST. JOHN PAUL II MEDICAL CENTER CORP.,Private,,REGION III (CENTRAL LUZON),Pampanga,MAGALANG,With License,Level 1,41.0,15.2440274,120.6551231,,35411000,0
423,NUEVA ECIJA MEDICS HOSPITAL,Private,,REGION III (CENTRAL LUZON),Nueva Ecija,SAN ISIDRO,With License,Level 1,29.0,15.3076728,120.89802549999999,,34925000,0
424,ARNAIZ HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Rizal,CAINTA,Without License,0,,14.612720000000001,121.10296699999999,,45805000,0
425,ASIA MEDIC FAMILY HOSPITAL AND MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Cavite,DASMARIÑAS,With License,Level 1,77.0,14.298776199999999,120.95660819999999,,42106000,0
426,ASSUMPTA MEDICAL HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Batangas,TAAL,Without License,0,,13.88594,120.9418996,,41029000,0
427,DOÑA MARTA MEMORIAL DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Quezon,ATIMONAN,With License,Level 1,50.0,13.9985628,121.9224147,,45603000,0
428,BAGONG CAINTA MUNICIPAL HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Rizal,CAINTA,With License,Level 1,42.0,14.5802965,121.1138887,,45805000,0
429,BAUAN DOCTORS GENERAL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Batangas,BAUAN,With License,Level 2,100.0,13.795352599999998,121.00141709999998,,41006000,0
430,CALAMBA MEDICAL CENTER,Private,,REGION IV-A (CALABAR ZON),Laguna,CALAMBA,With License,Level 2,122.0,14.206749800000003,121.1534709,,43405000,0
431,CARLOS MEDICAL AND MATERNITY HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Rizal,CARDONA,Without License,0,,14.4804464,121.22073459999999,,45806000,0
432,CHRISTIAN GENERAL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Laguna,PAGSANJAN,With License,Level 1,20.0,14.273577,121.455308,,43419000,0
433,CLARO M. RECTO MEMORIAL DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Quezon,INFANTA,With License,Level 1,39.0,14.712668300000002,121.620434,,45620000,0
434,CRISOSTOMO GENERAL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Cavite,BACOOR,With License,Level 1,20.0,14.449277300000002,120.9335072,,42103000,0
435,A. DE LA CRUZ MATERNITY HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Cavite,CAVITE,With License,Level 1,11.0,14.483827300000002,120.89462920000001,,42105000,0
436,DEL CARMEN MEDICAL CLINIC,Private, ,REGION IV-A (CALABAR ZON),Quezon,CALAUAG,Without License,0,,14.064360999999998,122.36293300000001,,45607000,0
437,DLS-DR. RODOLFO R. POBLETE MEMORIAL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Cavite,ALFONSO,With License,Level 1,12.0,14.139946799999999,120.85541270000002,,42101000,0
438,BATANGAS PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Batangas,LEMERY,With License,Level 1,50.0,13.895174800000001,120.90721620000001,,41012000,0
439,DON MANUEL LOPEZ MEMORIAL DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Batangas,BALAYAN,With License,Level 1,50.0,13.948266,120.74730859999998,,41003000,0
440,DR. ERLINDA P. TOLENTINO MEDICAL CLINIC AND HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Quezon,UNISAN,Without License,0,,13.844079999999998,121.97149499999999,,45649000,0
441,EMIL JOANNA GENERAL HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Quezon,ATIMONAN,With License,0,,14.000708300000001,121.92415600000001,,45603000,0
442,DR. KISON'S CLINIC,Private, ,REGION IV-A (CALABAR ZON),Batangas,LIPA,Without License,0,,13.948093,121.15713000000001,,41014000,0
443,DR. MARIO D. BEJASA GENERAL HOSPITAL,Private,,REGION IV-A (CALABAR ZON),Batangas,BAUAN,With License,Level 1,27.0,13.7930777,121.00728459999999,,41006000,0
444,"DR. R. ROSALES MEMORIAL MEDICAL HOSPITAL, INC.",Private,,REGION IV-A (CALABAR ZON),Batangas,PADRE GARCIA,With License,Level 1,16.0,13.876226,121.211549,,41020000,0
445,DR. JOSE P. RIZAL MEMORIAL DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Laguna,CALAMBA,With License,Level 1,100.0,14.1916404,121.1674805,,43405000,0
446,DRA. OLIVIA SALAMANCA MEMORIAL DISTRICT HOSPITAL,Government,Local Government Unit,REGION IV-A (CALABAR ZON),Cavite,CAVITE,With License,Level 1,50.0,14.4812565,120.91142930000001,,42105000,0
447,DUQUE GENERAL HOSPITAL,Private, ,REGION IV-A (CALABAR ZON),Batangas,SAN JUAN,Without License,0,,13.816123000000001,121.3981175,,41023000,0
448,"FAMILY CARE HOSPITAL, INC.",Private,,REGION IV-A (CALABAR ZON),Laguna,SAN PEDRO,With License,Level 1,37.0,14.342363,121.058173,,43425000,0
